"state_code","state","usage_rank","usage_index","total_observations","last_updated"
"DC","District of Columbia","1","3.81947188159356","1811","2025-08-11"
"UT","Utah","2","3.78267055728611","8340","2025-08-11"
"CA","California","3","2.12666549880274","52617","2025-08-11"
"NY","New York","4","1.57601849332381","19274","2025-08-11"
"VA","Virginia","5","1.56980804797033","8420","2025-08-11"
"WA","Washington","6","1.50948384367357","7451","2025-08-11"
"MA","Massachusetts","7","1.42340392771398","6373","2025-08-11"
"CO","Colorado","8","1.30439205031621","4927","2025-08-11"
"VT","Vermont","9","1.09987035561703","430","2025-08-11"
"NV","Nevada","10","1.08003169042961","2184","2025-08-11"
"OR","Oregon","11","1.01930106486212","2676","2025-08-11"
"MO","Missouri","12","0.986603148652607","3709","2025-08-11"
"MD","Maryland","13","0.984597447574848","3767","2025-08-11"
"IL","Illinois","14","0.881123716362606","6924","2025-08-11"
"CT","Connecticut","15","0.870429166091897","1966","2025-08-11"
"NH","New Hampshire","16","0.853436852915324","736","2025-08-11"
"NJ","New Jersey","17","0.846421607970288","4937","2025-08-11"
"HI","Hawaii","18","0.843600371340041","685","2025-08-11"
"GA","Georgia","19","0.796912384424934","5553","2025-08-11"
"MN","Minnesota","20","0.774894266634839","2717","2025-08-11"
"NC","North Carolina","21","0.768564280593846","5169","2025-08-11"
"RI","Rhode Island","22","0.76396453480072","527","2025-08-11"
"ME","Maine","23","0.731235124745375","610","2025-08-11"
"DE","Delaware","24","0.721589510251106","444","2025-08-11"
"TX","Texas","25","0.709266837133531","13896","2025-08-11"
"AZ","Arizona","26","0.698011833230982","3189","2025-08-11"
"FL","Florida","27","0.694255522529669","9633","2025-08-11"
"PA","Pennsylvania","28","0.667170764760462","5262","2025-08-11"
"TN","Tennessee","29","0.537291784568857","2376","2025-08-11"
"NM","New Mexico","30","0.523704160553354","663","2025-08-11"
"KS","Kansas","31","0.518378414122393","919","2025-08-11"
"MT","Montana","32","0.515584838722567","347","2025-08-11"
"NE","Nebraska","33","0.515267526317561","616","2025-08-11"
"MI","Michigan","34","0.512736727638983","3148","2025-08-11"
"ID","Idaho","35","0.503002794368721","607","2025-08-11"
"OH","Ohio","36","0.501146512649632","3588","2025-08-11"
"WI","Wisconsin","37","0.484487398742378","1750","2025-08-11"
"IN","Indiana","38","0.434803989715712","1831","2025-08-11"
"SC","South Carolina","39","0.421648089333843","1379","2025-08-11"
"AL","Alabama","40","0.396380028700622","1234","2025-08-11"
"WY","Wyoming","41","0.385973352803329","135","2025-08-11"
"ND","North Dakota","42","0.38529912433457","183","2025-08-11"
"IA","Iowa","43","0.383467753590593","744","2025-08-11"
"LA","Louisiana","44","0.37545847593321","1037","2025-08-11"
"OK","Oklahoma","45","0.358291139383747","887","2025-08-11"
"AR","Arkansas","46","0.355956530979859","662","2025-08-11"
"KY","Kentucky","47","0.346624893553973","961","2025-08-11"
"AK","Alaska","48","0.313645564922759","139","2025-08-11"
"SD","South Dakota","49","0.259181843068168","140","2025-08-11"
"WV","West Virginia","50","0.234363574449691","246","2025-08-11"
"MS","Mississippi","51","0.213704095684521","379","2025-08-11"
"not_classified","not_classified","52","0","2","2025-08-11"
